Sample in Buffer,Sample in Window,TRIGGER,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_wdata[31:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_writechannels[3:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_loadacc[3:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_getfilters[2:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_getbias[2:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/fsm_conv2d[4:0],i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/i_done2d,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_req,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/tcdm2_wen,i_core_v_mcu/i_soc_domain/soc_peripherals_i/i_efpga_subsystem/A3_eFPGA_wrapper/top/u_conv2d/write2
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
44,44,0,18053b98,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
45,45,0,18053b98,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
46,46,0,18053b98,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
47,47,0,18053b98,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
48,48,0,18053b98,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
49,49,0,18053b98,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
50,50,0,18053b98,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
51,51,0,18053b98,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
52,52,0,18053b98,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
53,53,0,18053b98,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_WAIT2",0,0,0,1
54,54,0,18053b98,"wcSTART1","laWAIT","gfDONE","gbDONE","fsm_SOP",0,0,0,1
55,55,0,18053b98,"wcSTART2","laST1","gfDONE","gbDONE","fsm_SOP",0,0,0,0
56,56,0,3900812a,"wcSTART3","laST2","gfDONE","gbDONE","fsm_SOP",0,0,0,0
57,57,0,3900812a,"wcWRITE1","laST3","gfDONE","gbDONE","fsm_SOP",0,1,0,0
58,58,0,0000007a,"wcWRITE1","laST4","gfDONE","gbDONE","fsm_SOP",0,0,0,0
59,59,0,0000007a,"wcWRITE1","laST5","gfDONE","gbDONE","fsm_SOP",0,0,0,0
60,60,0,0000007a,"wcWRITE1","laST6","gfDONE","gbDONE","fsm_SOP",0,0,0,0
61,61,0,0000007a,"wcWRITE1","laST7","gfDONE","gbDONE","fsm_SOP",0,0,0,0
62,62,0,0000007a,"wcWRITE1","laST8","gfDONE","gbDONE","fsm_SOP8",0,0,0,0
63,63,0,0000007a,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP16",0,1,0,0
64,64,0,0000007a,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_SOP24",0,0,0,0
65,65,0,0000007a,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC1",0,0,0,0
66,66,0,0000007a,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_FRAC2",0,0,0,0
67,67,0,0000007a,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
68,68,0,0000007a,"wcWRITE2","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
69,69,0,0000007a,"wcWAIT","laWAIT","gfDONE","gbDONE","fsm_NEXT",0,0,0,0
