#Version : AU 1.2.0 Feb 13 2020
Orientation:,IO Type:,IO Index:,Direction:,Port Name:,Mapped Port:,Associated Clock:,Clock Edge:,Time Factor(%):,Min Time(ns):
TOP,IO_REG,3,OUTPUT,F2A_T_3_2,MU0_EFPGA_TPRAM_OPER_W_DATA_15_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_3,MU0_EFPGA_TPRAM_OPER_W_DATA_14_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_4,MU0_EFPGA_TPRAM_OPER_W_DATA_13_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_5,MU0_EFPGA_TPRAM_OPER_W_DATA_12_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_6,MU0_EFPGA_TPRAM_OPER_W_DATA_11_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_7,MU0_EFPGA_TPRAM_OPER_W_DATA_10_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_8,MU0_EFPGA_TPRAM_OPER_W_DATA_9_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_9,MU0_EFPGA_TPRAM_OPER_W_DATA_8_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_10,MU0_EFPGA_TPRAM_OPER_W_DATA_7_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2A_T_3_11,MU0_EFPGA_TPRAM_OPER_W_DATA_6_,CLK0,Rising,,
TOP,IO_REG,3,OUTPUT,F2Adef_T_3_0,NA
TOP,IO_REG,3,OUTPUT,F2Adef_T_3_1,NA
TOP,IO_REG,3,OUTPUT,F2Adef_T_3_2,NA
TOP,IO_REG,3,OUTPUT,F2Adef_T_3_3,NA
TOP,IO_REG,3,OUTPUT,F2Areg_T_3_0,NA
TOP,IO_REG,3,OUTPUT,F2Areg_T_3_1,NA
TOP,IO_REG,3,INPUT,A2F_T_3_0,MU0_TPRAM_EFPGA_OPER_R_DATA_19_,CLK0,Rising,,
TOP,IO_REG,3,INPUT,A2F_T_3_1,MU0_TPRAM_EFPGA_OPER_R_DATA_18_,CLK0,Rising,,
TOP,IO_REG,3,INPUT,A2F_T_3_2,MU0_TPRAM_EFPGA_OPER_R_DATA_17_,CLK0,Rising,,
TOP,IO_REG,3,INPUT,A2F_T_3_3,MU0_TPRAM_EFPGA_OPER_R_DATA_16_,CLK0,Rising,,
TOP,IO_REG,3,INPUT,A2F_T_3_4,MU0_TPRAM_EFPGA_OPER_R_DATA_15_,CLK0,Rising,,
TOP,IO_REG,3,INPUT,A2F_T_3_5,MU0_TPRAM_EFPGA_OPER_R_DATA_14_,CLK0,Rising,,
TOP,IO_REG,3,INPUT,A2Freg_T_3_0,GND
TOP,IO_BUF,4,OUTPUT,F2A_T_4_0,MU0_EFPGA_TPRAM_OPER_W_DATA_5_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_1,MU0_EFPGA_TPRAM_OPER_W_DATA_4_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_2,MU0_EFPGA_TPRAM_OPER_W_DATA_3_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_3,MU0_EFPGA_TPRAM_OPER_W_DATA_2_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_4,MU0_EFPGA_TPRAM_OPER_W_DATA_1_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_5,MU0_EFPGA_TPRAM_OPER_W_DATA_0_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_6,MU0_EFPGA_TPRAM_OPER_W_CLK,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_7,MU0_EFPGA_TPRAM_OPER_W_ADDR_11_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_8,MU0_EFPGA_TPRAM_OPER_W_ADDR_10_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_9,MU0_EFPGA_TPRAM_OPER_W_ADDR_9_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_10,MU0_EFPGA_TPRAM_OPER_W_ADDR_8_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_11,MU0_EFPGA_TPRAM_OPER_W_ADDR_7_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_12,MU0_EFPGA_TPRAM_OPER_W_ADDR_6_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_13,MU0_EFPGA_TPRAM_OPER_W_ADDR_5_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_14,MU0_EFPGA_TPRAM_OPER_W_ADDR_4_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_15,MU0_EFPGA_TPRAM_OPER_W_ADDR_3_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_16,MU0_EFPGA_TPRAM_OPER_W_ADDR_2_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2A_T_4_17,MU0_EFPGA_TPRAM_OPER_W_ADDR_1_,CLK0,Rising,,
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_0,NA
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_1,NA
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_2,NA
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_3,NA
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_4,NA
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_5,NA
TOP,IO_BUF,4,OUTPUT,F2Adef_T_4_6,NA
TOP,IO_BUF,4,INPUT,A2F_T_4_0,MU0_TPRAM_EFPGA_OPER_R_DATA_13_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_1,MU0_TPRAM_EFPGA_OPER_R_DATA_12_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_2,MU0_TPRAM_EFPGA_OPER_R_DATA_11_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_3,MU0_TPRAM_EFPGA_OPER_R_DATA_10_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_4,MU0_TPRAM_EFPGA_OPER_R_DATA_9_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_5,MU0_TPRAM_EFPGA_OPER_R_DATA_8_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_6,MU0_TPRAM_EFPGA_OPER_R_DATA_7_,CLK0,Rising,,
TOP,IO_BUF,4,INPUT,A2F_T_4_7,MU0_TPRAM_EFPGA_OPER_R_DATA_6_,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_0,MU0_EFPGA_TPRAM_OPER_W_ADDR_0_,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_1,MU0_EFPGA_TPRAM_OPER_WE,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_2,MU0_EFPGA_TPRAM_OPER_WDSEL,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_3,MU0_EFPGA_TPRAM_OPER_R_MODE_1_,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_4,MU0_EFPGA_TPRAM_OPER_R_MODE_0_,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_5,MU0_EFPGA_TPRAM_OPER_R_CLK,CLK0,Rising,,
TOP,IO_REG,5,OUTPUT,F2A_T_5_6,MU0_EFPGA_TPRAM_OPER_R_ADDR_11_,CLK0,Rising,,
